word,clue,length
СТЕРИЛІЗАЦІЯ,Повне знищення мікроорганізмів,12
ДЕЗІНФЕКЦІЯ,Знищення хвороботворних мікробів,11
БИНТ,Смужка тканини для перев'язки рани,4
ПЛАСТИР,Липка смужка для захисту дрібної рани,7
ВАТА,М'який волокнистий матеріал для перев'язки,4
БАНДАЖ,Пов'язка для підтримки чи фіксації частини тіла,6
МИЛИЦЯ,Опора під пахву для ходьби при травмі ноги,6
ОКУЛЯРИ,Скельця в оправі для покращення зору,7
ПУЛЬС,Ритмічні поштовхи крові в судинах,5
ІМУНІТЕТ,Здатність організму опиратися хворобам,8
