word,clue,length
ДИСК,Плаский снаряд для метання,4
МОЛОТ,Снаряд на тросі для метання,5
ЯДРО,Важка куля для штовхання,4
КОМАНДА,Гравці однієї сторони на полі,7
ГРАВЕЦЬ,Учасник спортивної гри,7
НАПАДНИК,Гравець атакувальної лінії,8
ЗАХИСНИК,Гравець оборонної лінії,8
ПІВЗАХИСНИК,Гравець середньої лінії поля,11
КАПІТАН,Лідер команди на полі,7
ТРЕНЕР,Керівник підготовки команди,6
СУДДЯ,"Той, хто стежить за правилами гри",5
АРБІТР,Інша назва судді на полі,6
ГЛЯДАЧ,Той, хто спостерігає за грою з трибуни,6
УБОЛІВАЛЬНИК,Відданий прихильник команди,12
ФАНАТ,Пристрасний прихильник клубу,5
КЛУБ,Організація гравців і вболівальників,4
ЛІГА,Об'єднання клубів для змагань,4
ДИВІЗІОН,Підрозділ ліги за рівнем сили,8
ЗБІРНА,Команда країни на міжнародних турнірах,6
СУПЕРНИК,"Той, з ким змагаються",8
ЧЕМПІОН,Переможець найвищого рівня,7
ЧЕМПІОНАТ,Головне змагання сезону,9
ОЛІМПІАДА,Головні змагання кожні чотири роки,9
ПАРАЛІМПІАДА,Змагання для спортсменів з інвалідністю,12
ФІНАЛ,Вирішальний матч турніру,5
ПІВФІНАЛ,Матч перед вирішальним,8
РАУНД,Один із відрізків бою в боксі,5
МАТЧ,Окрема гра в турнірі,4
ТУРНІР,Серія змагань за титул,6
КУБОК,Трофей за перемогу в турнірі,5
МЕДАЛЬ,Нагорода за місце на п'єдесталі,6
ЗОЛОТО,Найвища нагорода змагань,6
СРІБЛО,Нагорода за друге місце,6
БРОНЗА,Нагорода за третє місце,6
ПОДІУМ,Місце для нагородження призерів,6
РЕКОРД,Найкраще досягнення в історії,6
НОКАУТ,Перемога через втрату свідомості суперника,6
НОКДАУН,Падіння боксера від удару,7
ПЕРЕМОГА,Успішний результат змагання,8
ПОРАЗКА,Невдалий результат змагання,7
НІЧИЯ,Результат без переможця,5
ОЧКО,Одиниця рахунку в грі,4
ГОЛ,Влучання м'яча у ворота,3
ПЕНАЛЬТІ,Штрафний удар з позначки,8
ОФСАЙД,Порушення положення нападника,6
ЗАМІНА,Вихід одного гравця замість іншого,6
КАРТКА,Попередження судді гравцю,6
ТАЙМ,Половина футбольного матчу,4
ПЕРІОД,Відрізок хокейного матчу,6
ОВЕРТАЙМ,Додатковий час після нічиєї,8
СЕЗОН,Період регулярних змагань,5
ТРОФЕЙ,Почесна нагорода переможцю,6
ЦЕРЕМОНІЯ,Урочисте відкриття чи закриття змагань,9
ГІМН,Пісня на честь переможця,4
ПРАПОР,Символ країни на змаганнях,6
ФАКЕЛ,Вогонь, що несуть перед Олімпіадою,5
СМОЛОСКИП,Інша назва олімпійського вогню,9
ТАЛІСМАН,Символічна фігурка змагань,8
РЕЙТИНГ,Список суперників за силою,7
ТАБЛИЦЯ,Список команд за результатами,7
ТРАНСФЕР,Перехід гравця в інший клуб,8
КОНТРАКТ,Угода клубу з гравцем,8
АГЕНТ,Посередник у переході гравця,5
МЕНЕДЖЕР,Керівник клубних справ,8
БУКМЕКЕР,"Той, хто приймає ставки на матчі",8
СТАВКА,Сума, поставлена на результат,6
ПРОГНОЗ,Передбачення результату матчу,7
КОМЕНТАТОР,Той, хто описує гру в ефірі,10
РЕПОРТАЖ,Розповідь про перебіг змагання,8
ТРАНСЛЯЦІЯ,Показ матчу по телебаченню,10
СВИСТОК,Пристрій судді для сигналу,7
СЕКУНДОМІР,Прилад для відліку часу забігу,10
ДОРІЖКА,Смуга для бігу чи плавання,7
ТРЕК,Траса для перегонів,4
МАНЕЖ,Критий майданчик для змагань,5
РОЗДЯГАЛЬНЯ,Кімната для перевдягання спортсменів,11
ДЕРБІ,Матч принципових суперників з одного міста,5
ОЛІМПІЄЦЬ,Учасник головних ігор чотириріччя,9
РЕКОРДСМЕН,Власник найкращого досягнення,10
ФАВОРИТ,Того, кого вважають найсильнішим,7
АУТСАЙДЕР,"Той, від кого не чекають перемоги",9
ДЕБЮТАНТ,Новачок турніру,8
ВЕТЕРАН,Досвідчений учасник змагань,7
НОВАЧОК,Учасник, який щойно почав,7
ЛІДЕР,Той, хто попереду в турнірній таблиці,5
ПРИЗЕР,Учасник, що здобув нагороду,6
ФІНАЛІСТ,Учасник вирішального матчу,8
МАЙСТЕР,Високий рівень кваліфікації,7
АМАТОР,Спортсмен без професійного статусу,6
ПРОФЕСІОНАЛ,Спортсмен, що заробляє грою на життя,11
СПОРТСМЕН,Людина, що займається фізичними змаганнями,9
ПЛАВЕЦЬ,Учасник змагань у воді,7
БІГУН,Учасник змагань у бігу,5
СТРИБУН,"Учасник змагань у висоту, довжину чи з жердиною",7
БОКСЕР,"Той, хто б'ється в рукавицях на рингу",6
БОРЕЦЬ,Той, хто змагається на килимі,6
ФУТБОЛІСТ,Гравець, що грає у м'яч ногами,9
ХОКЕЇСТ,Гравець із ключкою на льоду,7
ТЕНІСИСТ,Гравець із ракеткою через сітку,8
ГІМНАСТ,Спортсмен на кільцях і брусах,7
ЛИЖНИК,Спортсмен на дошках по снігу,6
КОВЗАНЯР,Спортсмен на лезах по льоду,8
ВЕЛОСИПЕДИСТ,Спортсмен на двох колесах,12
ШТАНГІСТ,Спортсмен, що піднімає важкі снаряди,8
СТРІЛЕЦЬ,Спортсмен, що влучає у мішень,8
СПАРИНГ,Тренувальний бій перед змаганням,7
РОЗМИНКА,Підготовка м'язів перед грою,8
ТРЕНУВАННЯ,Регулярна підготовка до змагань,10
РЕФЕРІ,Інша назва судді в деяких видах спорту,6
СПОРЯДЖЕННЯ,Знаряддя та одяг для занять спортом,11
ФОРМА,Одяг команди для гри,5
МАЙКА,Верхня частина спортивної форми,5
ШОРТИ,Короткі спортивні штани,5
ГЕТРИ,Панчохи футболіста поверх щитків,5
СПОРТЗАЛ,Приміщення для тренувань,8
ШТОВХАННЯ,Техніка виконання удару ядром,9
ПОДАЧА,Початковий удар у волейболі чи тенісі,6
ПРИЙОМ,Дія у відповідь на подачу суперника,6
БЛОК,Захисна дія над сіткою у волейболі,4
АТАКА,Наступальна дія в грі,5
КОНТРАТАКА,Швидкий наступ після оборони,10
ДРИБЛІНГ,Ведення м'яча гравцем,8
ПАС,Передача м'яча партнеру,3
ПРОРИВ,Швидкий рух гравця крізь оборону,6
ВКИДАННЯ,Введення м'яча з-за бокової лінії,8
АУТ,М'яч поза межами поля,3
ГОЛКІПЕР,Гравець, що ловить м'яч руками у грі,8
ЛІБЕРО,Гравець із захисними функціями у волейболі,6
ФЛОРБОЛ,Різновид хокею в залі з легким м'ячем,7
ПАУЕРЛІФТИНГ,Силовий спорт із трьома вправами,12
БОДІБІЛДИНГ,Спорт нарощування м'язової маси,11
КРОСФІТ,Інтенсивне функціональне тренування,7
АЕРОБІКА,Ритмічні вправи під музику,8
ЗУМБА,Танцювальне заняття під музику,5
СТЕП,Фітнес зі сходинкою,4
ПАРКУР,Подолання міських перешкод бігом і стрибками,6
ВОРКАУТ,Тренування на вуличних турніках,7
ТУРНІК,Перекладина для підтягувань,6
БРУСИ,Снаряд для віджимань на руках,5
КОЛОДА,Гімнастичний снаряд для рівноваги,6
КІЛЬЦЯ,"Гімнастичний снаряд, що висить на тросах",6
МІСТОК,Гімнастична вправа - прогин тіла назад,6
ШПАГАТ,Розтяжка ніг у пряму лінію,6
САЛЬТО,Перекидання тіла в повітрі,6
ПІРУЕТ,Оберт фігуриста на одній нозі,6
ФІГУРИСТ,Спортсмен на ковзанах під музику,8
ТРАМПЛІН,Споруда для стрибків у воду чи з гори,8
СЛАЛОМ,Швидкісний спуск між прапорцями,6
ВЕРШНИК,Спортсмен верхи на коні,7
ВИЇЗДКА,Кінний вид спорту на манежі,7
КОНКУР,Кінні перегони зі стрибками через перешкоди,6
ІПОДРОМ,Споруда для кінних перегонів,7
ЖОКЕЙ,Вершник на перегонах,5
СІДЛО,Спорядження вершника на коні,5
ЯХТА,Судно для парусного спорту,4
РЕГАТА,Змагання яхт чи веслувальних човнів,6
ВЕСЛО,Знаряддя для руху човна,5
ГРЕБЕЦЬ,Спортсмен, що працює веслом,7
КАНОЕ,Легкий човен без керма,5
МОТОСПОРТ,Перегони на моторизованій техніці,9
АВТОСПОРТ,Перегони на автомобілях,9
БОЛІД,Гоночний автомобіль формули,5
ПІЛОТ,Водій гоночного автомобіля,5
ТРАСА,Дорога для автоперегонів,5
ПІТСТОП,Зупинка боліда для ремонту й заміни шин,7
МОТОЦИКЛ,Двоколісний засіб для мотоперегонів,8
ГОНКА,Змагання на швидкість,5
ДИСТАНЦІЯ,Довжина забігу чи запливу,9
ЕКІПАЖ,Команда гонщиків одного боліда чи човна,6
ШАХИ,Інтелектуальна гра на 64 клітинках,4
ШАХІСТ,Гравець у логічну гру на дошці,6
ГРОСМЕЙСТЕР,Найвище звання в шаховій грі,11
ШАХІВНИЦЯ,Дошка для гри в шахи,9
ПЕШКА,Найслабша фігура на шаховій дошці,5
ФЕРЗЬ,Найсильніша фігура на шаховій дошці,5
КОРОЛЬ,Головна фігура на шаховій дошці,6
ЛАДДЯ,Фігура-вежа на шаховій дошці,5
СЛОН,Фігура, що ходить по діагоналі дошки,4
КІНЬ,Фігура, що ходить буквою Г,4
МАТ,Кінець партії на шаховій дошці,3
ПАТ,Нічия через відсутність ходів на дошці,3
ДЕБЮТ,Початок партії на шаховій дошці,5
ЕНДШПІЛЬ,Завершальна стадія партії на дошці,8
ШАШКИ,Гра на 64 клітинках із дисками,5
КЕГЛІ,Фігури, що збивають кулею,5
ДОМІНО,Гра кістками з крапками,6
ПІНГПОНГ,Настільний теніс,8
